District,Year,Return_Period,Return_Level,Standard_Error,CI_Lower,CI_Upper
South West Garo Hills,2025,5,175.3236015,NA,157.6710279,192.9761752
South West Garo Hills,2025,10,219.6829088,NA,191.2589072,248.1069104
South West Garo Hills,2025,50,341.309053,NA,260.8053501,421.812756
South West Garo Hills,2025,100,404.6852131,NA,286.2070676,523.1633586
South West Garo Hills,2026,5,175.3236015,NA,157.6710279,192.9761752
South West Garo Hills,2026,10,219.6829088,NA,191.2589072,248.1069104
South West Garo Hills,2026,50,341.309053,NA,260.8053501,421.812756
South West Garo Hills,2026,100,404.6852131,NA,286.2070676,523.1633586
South West Garo Hills,2027,5,175.3236015,NA,157.6710279,192.9761752
South West Garo Hills,2027,10,219.6829088,NA,191.2589072,248.1069104
South West Garo Hills,2027,50,341.309053,NA,260.8053501,421.812756
South West Garo Hills,2027,100,404.6852131,NA,286.2070676,523.1633586
South West Garo Hills,2028,5,175.3236015,NA,157.6710279,192.9761752
South West Garo Hills,2028,10,219.6829088,NA,191.2589072,248.1069104
South West Garo Hills,2028,50,341.309053,NA,260.8053501,421.812756
South West Garo Hills,2028,100,404.6852131,NA,286.2070676,523.1633586
West Garo Hills,2025,5,177.3625574,NA,160.9891095,193.7360053
West Garo Hills,2025,10,218.0835827,NA,192.1486095,244.0185558
West Garo Hills,2025,50,327.1365105,NA,256.1099594,398.1630615
West Garo Hills,2025,100,382.7332838,NA,279.4578095,486.0087581
West Garo Hills,2026,5,177.3625574,NA,160.9891095,193.7360053
West Garo Hills,2026,10,218.0835827,NA,192.1486095,244.0185558
West Garo Hills,2026,50,327.1365105,NA,256.1099594,398.1630615
West Garo Hills,2026,100,382.7332838,NA,279.4578095,486.0087581
West Garo Hills,2027,5,177.3625574,NA,160.9891095,193.7360053
West Garo Hills,2027,10,218.0835827,NA,192.1486095,244.0185558
West Garo Hills,2027,50,327.1365105,NA,256.1099594,398.1630615
West Garo Hills,2027,100,382.7332838,NA,279.4578095,486.0087581
West Garo Hills,2028,5,177.3625574,NA,160.9891095,193.7360053
West Garo Hills,2028,10,218.0835827,NA,192.1486095,244.0185558
West Garo Hills,2028,50,327.1365105,NA,256.1099594,398.1630615
West Garo Hills,2028,100,382.7332838,NA,279.4578095,486.0087581
South Garo Hills ,2025,5,360.0401844,67.82983247,227.0961557,492.9842131
South Garo Hills ,2026,5,367.4941665,69.59206814,231.0962193,503.8921137
South Garo Hills ,2027,5,375.1313508,71.41385272,235.1627715,515.0999301
South Garo Hills ,2028,5,382.9559113,73.29709522,239.2962445,526.6155781
South Garo Hills ,2025,10,554.3096094,99.82236805,358.6613632,749.9578556
South Garo Hills ,2026,10,566.1897553,102.6666562,364.9668068,767.4127038
South Garo Hills ,2027,10,578.3539474,105.604051,371.3738109,785.3340839
South Garo Hills ,2028,10,590.8086574,108.6373586,377.8833473,803.7339676
South Garo Hills ,2025,50,1028.328966,217.4982974,602.0401359,1454.617795
South Garo Hills ,2026,50,1051.008996,223.4132423,613.1270871,1488.890904
South Garo Hills ,2027,50,1074.219132,229.5054546,624.3967071,1524.041558
South Garo Hills ,2028,50,1097.971454,235.7801285,635.8508939,1560.092014
South Garo Hills ,2025,100,1249.709692,293.3683639,674.7182647,1824.701119
South Garo Hills ,2026,100,1277.43358,301.0606821,687.3654857,1867.501674
South Garo Hills ,2027,100,1305.802492,308.9744183,700.2237599,1911.381224
South Garo Hills ,2028,100,1334.831124,317.1159553,713.2952729,1956.366976
East Garo Hills,2025,5,193.5750103,12.98103319,168.1326527,219.0173678
East Garo Hills,2026,5,193.9808953,13.0791312,168.3462692,219.6155213
East Garo Hills,2027,5,194.3867802,13.17785771,168.5586537,220.2149067
East Garo Hills,2028,5,194.7926652,13.27719871,168.7698339,220.8154965
East Garo Hills,2025,10,237.8778319,16.10951971,206.3037534,269.4519103
East Garo Hills,2026,10,238.2837168,16.16294678,206.6049233,269.9625104
East Garo Hills,2027,10,238.6896018,16.21730195,206.9042741,270.4749296
East Garo Hills,2028,10,239.0954868,16.27257592,207.2018241,270.9891496
East Garo Hills,2025,50,367.6453925,45.32383543,278.8123074,456.4784776
East Garo Hills,2026,50,368.0512775,45.29018363,279.2841487,456.8184063
East Garo Hills,2027,50,368.4571625,45.25690244,279.7552636,457.1590613
East Garo Hills,2028,50,368.8630475,45.22399269,280.2256505,457.5004444
East Garo Hills,2025,100,439.490021,70.67363774,300.9722363,578.0078056
East Garo Hills,2026,100,439.8959059,70.62502323,301.473404,578.3184079
East Garo Hills,2027,100,440.3017909,70.57662893,301.9741401,578.6294418
East Garo Hills,2028,100,440.7076759,70.5284553,302.4744437,578.9409082
South West Khasi Hills,2025,5,889.8777558,119.2954233,656.0630227,1123.692489
South West Khasi Hills,2026,5,909.0528719,123.8839964,666.2447008,1151.861043
South West Khasi Hills,2027,5,928.7055499,128.6458745,676.5642692,1180.846831
South West Khasi Hills,2028,5,948.8485008,133.5868271,687.0231309,1210.673871
South West Khasi Hills,2025,10,1288.251683,186.1623426,923.3801963,1653.12317
South West Khasi Hills,2026,10,1318.030139,193.2656098,939.2365041,1696.823773
South West Khasi Hills,2027,10,1348.568381,200.6358826,955.3292767,1741.807485
South West Khasi Hills,2028,10,1379.886632,208.2821167,971.6611843,1788.112079
South West Khasi Hills,2025,50,2339.448374,420.9682801,1514.365707,3164.531042
South West Khasi Hills,2026,50,2397.206059,435.012993,1544.59626,3249.815858
South West Khasi Hills,2027,50,2456.468241,449.5631275,1575.340702,3337.59578
South West Khasi Hills,2028,50,2517.274964,464.6359518,1606.605233,3427.944696
South West Khasi Hills,2025,100,2868.021515,583.1787743,1725.012121,4011.030909
South West Khasi Hills,2026,100,2939.847994,601.4209288,1761.084634,4118.611354
South West Khasi Hills,2027,100,3013.553432,620.2924455,1797.802579,4229.304285
South West Khasi Hills,2028,100,3089.187841,639.8147599,1835.173955,4343.201727
West Khasi Hills,2025,5,514.3759003,55.317149,405.9562805,622.7955201
West Khasi Hills,2026,5,521.7554147,57.02168698,409.9949619,633.5158675
West Khasi Hills,2027,5,529.2583479,58.7805888,414.0505108,644.4661849
West Khasi Hills,2028,5,536.8871212,60.5952122,418.1226876,655.6515547
West Khasi Hills,2025,10,697.6303189,88.17576329,524.8089986,870.4516393
West Khasi Hills,2026,10,708.6050524,90.92928248,530.3869336,886.8231712
West Khasi Hills,2027,10,719.7737383,93.76728311,535.9932405,903.5542361
West Khasi Hills,2028,10,731.1401818,96.69185982,541.6276189,920.6527446
West Khasi Hills,2025,50,1163.575032,206.9196794,758.0199128,1569.130151
West Khasi Hills,2026,50,1183.691009,212.5290137,767.141797,1600.240222
West Khasi Hills,2027,50,1204.180279,218.2999693,776.3202012,1632.040356
West Khasi Hills,2028,50,1225.050164,224.2366567,785.5543927,1664.545935
West Khasi Hills,2025,100,1389.848298,285.1733569,830.9187888,1948.777807
West Khasi Hills,2026,100,1414.403469,292.4115803,841.2873033,1987.519635
West Khasi Hills,2027,100,1439.419024,299.8503074,851.723221,2027.114828
West Khasi Hills,2028,100,1464.903995,307.4946659,862.2255244,2067.582465
East Khasi Hills,2025,5,691.1260675,100.4952939,494.158911,888.0932241
East Khasi Hills,2026,5,703.6730574,104.0196036,499.7983807,907.5477341
East Khasi Hills,2027,5,716.4963328,107.6552802,505.495861,927.4968047
East Khasi Hills,2028,5,729.6019777,111.4053996,511.2514068,947.9525486
East Khasi Hills,2025,10,1001.078555,149.0386588,708.9681519,1293.188959
East Khasi Hills,2026,10,1020.45072,154.2556732,718.1151566,1322.786284
East Khasi Hills,2027,10,1040.249462,159.6396013,727.3615928,1353.137331
East Khasi Hills,2028,10,1060.484173,165.1950791,736.7077676,1384.260578
East Khasi Hills,2025,50,1747.651645,283.278481,1192.436025,2302.867266
East Khasi Hills,2026,50,1783.463401,292.2653005,1210.633938,2356.292864
East Khasi Hills,2027,50,1820.063735,301.5447775,1229.046831,2411.080638
East Khasi Hills,2028,50,1857.47001,311.1251875,1247.675848,2467.264172
East Khasi Hills,2025,100,2092.04749,364.3342588,1377.965464,2806.129515
East Khasi Hills,2026,100,2135.442866,375.129747,1400.202072,2870.683659
East Khasi Hills,2027,100,2179.793811,386.2722667,1422.71408,2936.873542
East Khasi Hills,2028,100,2225.121368,397.7718088,1445.502948,3004.739787
Eastern West Khasi Hills,2025,5,158.845199,NA,143.1517689,174.5386292
Eastern West Khasi Hills,2025,10,199.576665,NA,172.7080138,226.4453162
Eastern West Khasi Hills,2025,50,325.2864597,NA,242.9892065,407.583713
Eastern West Khasi Hills,2025,100,398.2538034,NA,272.8491451,523.6584617
Eastern West Khasi Hills,2026,5,158.845199,NA,143.1517689,174.5386292
Eastern West Khasi Hills,2026,10,199.576665,NA,172.7080138,226.4453162
Eastern West Khasi Hills,2026,50,325.2864597,NA,242.9892065,407.583713
Eastern West Khasi Hills,2026,100,398.2538034,NA,272.8491451,523.6584617
Eastern West Khasi Hills,2027,5,158.845199,NA,143.1517689,174.5386292
Eastern West Khasi Hills,2027,10,199.576665,NA,172.7080138,226.4453162
Eastern West Khasi Hills,2027,50,325.2864597,NA,242.9892065,407.583713
Eastern West Khasi Hills,2027,100,398.2538034,NA,272.8491451,523.6584617
Eastern West Khasi Hills,2028,5,158.845199,NA,143.1517689,174.5386292
Eastern West Khasi Hills,2028,10,199.576665,NA,172.7080138,226.4453162
Eastern West Khasi Hills,2028,50,325.2864597,NA,242.9892065,407.583713
Eastern West Khasi Hills,2028,100,398.2538034,NA,272.8491451,523.6584617
Ri-Bhoi,2025,5,134.9402909,NA,119.9639982,149.9165836
Ri-Bhoi,2025,10,174.1351897,NA,147.4153362,200.8550432
Ri-Bhoi,2025,50,299.1989704,NA,207.7532532,390.6446877
Ri-Bhoi,2025,100,373.9871489,NA,229.5535287,518.4207692
Ri-Bhoi,2026,5,134.9402909,NA,119.9639982,149.9165836
Ri-Bhoi,2026,10,174.1351897,NA,147.4153362,200.8550432
Ri-Bhoi,2026,50,299.1989704,NA,207.7532532,390.6446877
Ri-Bhoi,2026,100,373.9871489,NA,229.5535287,518.4207692
Ri-Bhoi,2027,5,134.9402909,NA,119.9639982,149.9165836
Ri-Bhoi,2027,10,174.1351897,NA,147.4153362,200.8550432
Ri-Bhoi,2027,50,299.1989704,NA,207.7532532,390.6446877
Ri-Bhoi,2027,100,373.9871489,NA,229.5535287,518.4207692
Ri-Bhoi,2028,5,134.9402909,NA,119.9639982,149.9165836
Ri-Bhoi,2028,10,174.1351897,NA,147.4153362,200.8550432
Ri-Bhoi,2028,50,299.1989704,NA,207.7532532,390.6446877
Ri-Bhoi,2028,100,373.9871489,NA,229.5535287,518.4207692
West Jaintia Hills,2025,5,188.0754381,NA,169.9965527,206.1543234
West Jaintia Hills,2025,10,234.1741464,NA,204.2006264,264.1476663
West Jaintia Hills,2025,50,367.2190553,NA,278.3830568,456.0550538
West Jaintia Hills,2025,100,439.8911864,NA,306.7108667,573.0715062
West Jaintia Hills,2026,5,188.0754381,NA,169.9965527,206.1543234
West Jaintia Hills,2026,10,234.1741464,NA,204.2006264,264.1476663
West Jaintia Hills,2026,50,367.2190553,NA,278.3830568,456.0550538
West Jaintia Hills,2026,100,439.8911864,NA,306.7108667,573.0715062
West Jaintia Hills,2027,5,188.0754381,NA,169.9965527,206.1543234
West Jaintia Hills,2027,10,234.1741464,NA,204.2006264,264.1476663
West Jaintia Hills,2027,50,367.2190553,NA,278.3830568,456.0550538
West Jaintia Hills,2027,100,439.8911864,NA,306.7108667,573.0715062
West Jaintia Hills,2028,5,188.0754381,NA,169.9965527,206.1543234
West Jaintia Hills,2028,10,234.1741464,NA,204.2006264,264.1476663
West Jaintia Hills,2028,50,367.2190553,NA,278.3830568,456.0550538
West Jaintia Hills,2028,100,439.8911864,NA,306.7108667,573.0715062
East Jaintia Hills,2025,5,176.5216544,NA,161.2202567,191.8230521
East Jaintia Hills,2025,10,215.7767573,NA,190.38174,241.1717746
East Jaintia Hills,2025,50,330.5975113,NA,256.2344589,404.9605638
East Jaintia Hills,2025,100,394.0856865,NA,282.8437578,505.3276153
East Jaintia Hills,2026,5,176.5216544,NA,161.2202567,191.8230521
East Jaintia Hills,2026,10,215.7767573,NA,190.38174,241.1717746
East Jaintia Hills,2026,50,330.5975113,NA,256.2344589,404.9605638
East Jaintia Hills,2026,100,394.0856865,NA,282.8437578,505.3276153
East Jaintia Hills,2027,5,176.5216544,NA,161.2202567,191.8230521
East Jaintia Hills,2027,10,215.7767573,NA,190.38174,241.1717746
East Jaintia Hills,2027,50,330.5975113,NA,256.2344589,404.9605638
East Jaintia Hills,2027,100,394.0856865,NA,282.8437578,505.3276153
East Jaintia Hills,2028,5,176.5216544,NA,161.2202567,191.8230521
East Jaintia Hills,2028,10,215.7767573,NA,190.38174,241.1717746
East Jaintia Hills,2028,50,330.5975113,NA,256.2344589,404.9605638
East Jaintia Hills,2028,100,394.0856865,NA,282.8437578,505.3276153
